Shoe_Link,Shoe_Brand,Shoe_Name,Shoe_Price,Shoe_Color
https://www.backcountry.com/mad-rock-rover-climbing-shoe,Mad Rock,Rover Climbing Shoe,78.95,Black
https://www.backcountry.com/scarpa-furia-s-climbing-shoe-mens,Scarpa,Furia S Climbing Shoe,69.63,Parrot/Yellow
https://www.backcountry.com/scarpa-instinct-vs-climbing-shoe-vibram-xs-edge,Scarpa,Instinct VS Climbing Shoe - Men's,83.23,Black/Orange
https://www.backcountry.com/so-ill-holds-street-lv-climbing-shoe-mens,So Ill Holds,Street LV Climbing Shoe,31.39,Black Seafoam
https://www.backcountry.com/la-sportiva-tarantulace-climbing-shoe,La Sportiva,Tarantulace Climbing Shoe,89.00,Olive/Tiger
https://www.backcountry.com/la-sportiva-tarantulace-climbing-shoe-womens,La Sportiva,Tarantulace Climbing Shoe - Women's,89.00,Topaz/Red Plum
https://www.backcountry.com/la-sportiva-katana-lace-climbing-shoe-lsp0165,La Sportiva,Katana Lace Vibram XS Edge Climbing Shoe,68.25,Yellow
https://www.backcountry.com/evolv-skyhawk-climbing-shoe-womens,Evolv,Skyhawk Climbing Shoe - Women's,43.45,White/Blue
https://www.backcountry.com/ocun-advancer-lu-climbing-shoe,Ocun,Advancer LU Climbing Shoe,109.95,Dark Blue
https://www.backcountry.com/la-sportiva-solution-vibram-xs-grip2-climbing-shoe,La Sportiva,Solution Climbing Shoe,199.00,White/Yellow
https://www.backcountry.com/black-diamond-focus-climbing-shoe-womens,Black Diamond,Focus Climbing Shoe - Women's,81.57,Caspian
https://www.backcountry.com/scarpa-vapor-climbing-shoe-mens-scr003a,Scarpa,Vapor Climbing Shoe,49.48,Yellow
https://www.backcountry.com/la-sportiva-oxygym-climbing-shoe-womens,La Sportiva,Oxygym Climbing Shoe - Women's,69.30,Mint/Coral
https://www.backcountry.com/mad-rock-drifter-climbing-shoe,Mad Rock,Drifter Climbing Shoe,33.75,Blue/Grey
https://www.backcountry.com/butora-habara-climbing-shoe,Butora,Habara Climbing Shoe,54.94,Picante
https://www.backcountry.com/scarpa-helix-climbing-shoe-womens,Scarpa,Helix Climbing Shoe - Women's,39.58,Coral Red
https://www.backcountry.com/black-diamond-momentum-climbing-shoe-womens,Black Diamond,Momentum Climbing Shoe - Women's,99.95,Black/Alloy
https://www.backcountry.com/la-sportiva-tarantula-frixion-rs-climbing-shoe-lsp0195,La Sportiva,Tarantula FriXion RS Climbing Shoe,47.50,Kiwi
https://www.backcountry.com/la-sportiva-finale-climbing-shoe-mens,La Sportiva,Finale Climbing Shoe,129.00,Aloe/Moss
https://www.backcountry.com/black-diamond-momentum-lace-climbing-shoe-womens,Black Diamond,Momentum Lace Climbing Shoe - Women's,40.48,White/Alloy
https://www.backcountry.com/mad-rock-drone-comp-series-low-volume-climbing-shoe,Mad Rock,Drone Comp Series Low Volume Climbing Shoe,148.95,Tan/Rose Red/Aqua
https://www.backcountry.com/la-sportiva-solution-comp-climbing-shoe-womens,La Sportiva,Solution Comp Climbing Shoe - Women's,209.00,Hibiscus/Malibu Blue
https://www.backcountry.com/evolv-shakra-climbing-shoe-womens,Evolv,Shakra Climbing Shoe - Women's,118.96,Aqua/Neon Yellow
https://www.backcountry.com/scarpa-chimera-climbing-shoe-mens-scr005l,Scarpa,Chimera Climbing Shoe,73.60,Yellow
https://www.backcountry.com/black-diamond-method-s-climbing-shoes-mens,Black Diamond,Method S Climbing Shoe - Men's,144.95,Octane
https://www.backcountry.com/la-sportiva-futura-climbing-shoe,La Sportiva,Futura Climbing Shoe,199.00,Blue/Yellow
https://www.backcountry.com/ocun-rebel-qc-climbing-shoe,Ocun,Rebel QC Climbing Shoe,68.72,One Color
https://www.backcountry.com/la-sportiva-tarantula-boulder-climbing-shoe-mens,La Sportiva,Tarantula Boulder Climbing Shoe - Men's,109.00,Metal/Sunset
https://www.backcountry.com/scarpa-vapor-v-climbing-shoe-womens,Scarpa,Vapor V Climbing Shoe - Women's,96.22,Dahlia/Aqua
https://www.backcountry.com/evolv-oracle-climbing-shoe,Evolv,Oracle Climbing Shoe,152.96,Blue/Red/Gray
https://www.backcountry.com/five-ten-kirigami-climbing-shoe,Five Ten,Kirigami Climbing Shoe,100.00,Onix/Black/Solar Red
https://www.backcountry.com/butora-narsha-tight-fit-climbing-shoe,Butora,Narsha Tight Fit Climbing Shoe,95.00,Blue/Black
https://www.backcountry.com/la-sportiva-kubo-climbing-shoe-womens,La Sportiva,Kubo Climbing Shoe - Women's,159.00,Royal/Love Potion
https://www.backcountry.com/red-chili-voltage-lv-climbing-shoe-mens,Red Chili,Voltage LV Climbing Shoe,47.98,Orange/Red
https://www.backcountry.com/mad-rock-agama-climbing-shoe,Mad Rock,Agama Climbing Shoe,37.35,Blue/White/Orange
https://www.backcountry.com/evolv-the-general-climbing-shoe,Evolv,The General Climbing Shoe,139.96,Tan/Army Green
https://www.backcountry.com/la-sportiva-skwama-climbing-shoe-mens,La Sportiva,Skwama Climbing Shoe,199.00,Black/Yellow
https://www.backcountry.com/evolv-x1-climbing-shoe-mens,Evolv,X1 Climbing Shoe,101.46,Seafoam/Neon Yellow
https://www.backcountry.com/black-diamond-focus-climbing-shoe-mens,Black Diamond,Focus Climbing Shoe,82.73,Rust
https://www.backcountry.com/mad-rock-weaver-climbing-shoe,Mad Rock,Weaver Climbing Shoe,39.60,Red/Black
https://www.backcountry.com/ocun-oxi-s-climbing-shoe,Ocun,Oxi S Climbing Shoe,90.97,One Color
https://www.backcountry.com/lowa-x-boulder-climbing-shoe,Lowa,X-Boulder Climbing Shoe,78.73,Red/Gray
https://www.backcountry.com/five-ten-hiangle-climbing-shoe-womens-fvt000o,Five Ten,Hiangle Climbing Shoe - Women's,75.48,Pink/Yellow
https://www.backcountry.com/mad-rock-drone-comp-series-high-volume-climbing-shoe,Mad Rock,Drone Comp Series High Volume Climbing Shoe,148.95,Tan/Rose Red/Aqua
https://www.backcountry.com/mad-rock-phoenix-climbing-shoe,Mad Rock,Phoenix Climbing Shoe,88.95,Mustard/Brown
https://www.backcountry.com/evolv-elektra-climbing-shoe-2009-womens,Evolv,Elektra Climbing Shoe - Women's,109.00,Merlot/Gray
https://www.backcountry.com/butora-endeavor-neat-trad-climbing-shoe,Butora,Endeavor NEAT Trad Climbing Shoe,35.60,Red
https://www.backcountry.com/la-sportiva-otaki-climbing-shoe-womens,La Sportiva,Otaki Climbing Shoe - Women's,156.75,Sulphur/Coral
https://www.backcountry.com/mad-rock-lotus-climbing-shoe-womens,Mad Rock,Lotus Climbing Shoe - Women's,49.13,Teal/Purple
https://www.backcountry.com/five-ten-niad-moccasym-climbing-shoe,Five Ten,Niad Moccasym Climbing Shoe,125.00,Core Black/Core Black/Matte Silver
https://www.backcountry.com/scarpa-piki-climbing-shoe-kids,Scarpa,Piki Climbing Shoe - Kids',33.11,Maldive
https://www.backcountry.com/la-sportiva-mantra-climbing-shoe,La Sportiva,Mantra Climbing Shoe,169.00,Arctic/Flame
https://www.backcountry.com/scarpa-arpia-climbing-shoe,Scarpa,Arpia Climbing Shoe - Women's,103.32,Black/Aqua
https://www.backcountry.com/black-diamond-method-s-climbing-shoes-womens,Black Diamond,Method S Climbing Shoe - Women's,144.95,Lilac
https://www.backcountry.com/unparallel-up-mocc-shoe,UnParallel,Up Mocc Shoe,109.95,Yellow/Black
https://www.backcountry.com/scarpa-vapor-climbing-shoe-womens-scrz26e,Scarpa,Vapor Climbing Shoe - Women's,96.22,Dahlia/Maldive
https://www.backcountry.com/ocun-striker-qc-climbing-shoe,Ocun,Striker QC Climbing Shoe,99.95,Green Malachite
https://www.backcountry.com/black-diamond-zone-lv-climbing-shoe,Black Diamond,Zone LV Climbing Shoe,67.06,Seagrass
https://www.backcountry.com/butora-sensa-og-trad-shoe,Butora,Sensa OG Trad Shoe,48.00,Light Grey
https://www.backcountry.com/scarpa-arpia-climbing-shoe-scr008w,Scarpa,Arpia Climbing Shoe,127.16,Black/Red
https://www.backcountry.com/ocun-ozone-climbing-shoe-womens,Ocun,Ozone Climbing Shoe - Women's,87.97,One Color
https://www.backcountry.com/scarpa-quantix-sf-climbing-shoe,Scarpa,Quantix SF Climbing Shoe,141.71,Bright Orange
https://www.backcountry.com/evolv-kronos-climbing-shoe-mens,Evolv,Kronos Climbing Shoe,139.00,Black/Olive
https://www.backcountry.com/la-sportiva-tarantula-boulder-climbing-shoe-womens,La Sportiva,Tarantula Boulder Climbing Shoe - Women's,109.00,Ice/Crystal
https://www.backcountry.com/evolv-rave-climbing-shoe,Evolv,Rave Climbing Shoe,129.00,Golden Yam
https://www.backcountry.com/la-sportiva-cobra-eco-climbing-shoe,La Sportiva,Cobra Eco Climbing Shoe,149.00,Falcon Brown/Apple Green
https://www.backcountry.com/five-ten-hiangle-pro-climbing-shoe,Five Ten,Hiangle Pro Climbing Shoe,170.00,Core Black/Ftwr White/Signal Green
https://www.backcountry.com/la-sportiva-skwama-vegan-climbing-shoe-womens,La Sportiva,Skwama Vegan Climbing Shoe - Women's,199.00,Carbon/Turquoise
https://www.backcountry.com/scarpa-mago-climbing-shoe-mens-scr007k,Scarpa,Mago Climbing Shoe,64.84,Bright Lime
https://www.backcountry.com/evolv-supra-climbing-shoe-mens,Evolv,Supra Climbing Shoe,89.97,White/Neon Green
https://www.backcountry.com/black-diamond-momentum-climbing-shoe-mens,Black Diamond,Momentum Climbing Shoe,99.95,Black/Anthracite
https://www.backcountry.com/mad-rock-shark-climbing-shoe,Mad Rock,Shark Climbing Shoe,128.95,Orange/Black
https://www.backcountry.com/mad-rock-remora-hv-tokyo-edition-climbing-shoe,Mad Rock,Remora HV Tokyo Edition Climbing Shoe,108.95,Black/Gold
https://www.backcountry.com/scarpa-helix-climbing-shoe-mens,Scarpa,Helix Climbing Shoe,128.95,Hyper Blue
https://www.backcountry.com/la-sportiva-miura-vibram-xs-grip2-climbing-shoe-womens,La Sportiva,Miura Climbing Shoe - Women's,189.00,White/Jade Green
https://www.backcountry.com/five-ten-anasazi-lv-climbing-shoe-womens,Five Ten,Anasazi LV Climbing Shoe - Women's,74.98,Collegiate Aqua/Black/Red
https://www.backcountry.com/evolv-defy-climbing-shoe-2009,Evolv,Defy Climbing Shoe,109.00,Black/Gray
https://www.backcountry.com/scarpa-origin-climbing-shoe-mens,Scarpa,Origin Climbing Shoe,118.95,Covey/Black
https://www.backcountry.com/la-sportiva-solution-comp-climbing-shoe,La Sportiva,Solution Comp Climbing Shoe,209.00,Black/Yellow
https://www.backcountry.com/scarpa-vapor-v-climbing-shoe-vibram-xs-grip2,Scarpa,Vapor V Climbing Shoe,198.95,Ocean/Yellow
https://www.backcountry.com/five-ten-grandstone-climbing-shoe-mens,Five Ten,Grandstone Climbing Shoe,180.00,Sesame/Black/Active Purple
https://www.backcountry.com/la-sportiva-mythos-eco-climbing-shoe-mens,La Sportiva,Mythos Eco Climbing Shoe,159.00,Taupe
https://www.backcountry.com/la-sportiva-tc-pro-climbing-shoe,La Sportiva,TC Pro Climbing Shoe,219.00,Olive
https://www.backcountry.com/scarpa-vapor-climbing-shoe-mens,Scarpa,Vapor Climbing Shoe,198.95,Smoke/Yellow
https://www.backcountry.com/la-sportiva-skwama-climbing-shoe-womens,La Sportiva,Skwama Climbing Shoe - Women's,199.00,Apple Green/Cobalt Blue
https://www.backcountry.com/mad-rock-drone-low-volume-black-edition-climbing-shoe,Mad Rock,Drone Low Volume Black Edition Climbing Shoe,138.95,Black
https://www.backcountry.com/lowa-sparrow-climbing-shoe-womens,Lowa,Sparrow Climbing Shoe - Women's,104.96,Turquoise/Orange
https://www.backcountry.com/ocun-oxi-lady-climbing-shoe,Ocun,Oxi Lady Climbing Shoe,65.40,One Color
https://www.backcountry.com/scarpa-mago-climbing-shoe-mens,Scarpa,Mago Climbing Shoe,167.16,Black
https://www.backcountry.com/la-sportiva-miura-vibram-xs-edge-climbing-shoe-mens,La Sportiva,Miura Lace Climbing Shoe,189.00,Lime
https://www.backcountry.com/la-sportiva-katana-lace-climbing-shoe,La Sportiva,Katana Lace Vibram XS Edge Climbing Shoe,219.00,Yellow/Black
https://www.backcountry.com/five-ten-niad-vcs-climbing-shoe,Five Ten,Niad VCS Climbing Shoe,150.00,Mesa/Core Black/Ftwr White
https://www.backcountry.com/scarpa-instinct-s-climbing-shoe,Scarpa,Instinct S Climbing Shoe,208.95,Black/Azure
https://www.backcountry.com/la-sportiva-cobra-499-climbing-shoe,La Sportiva,Cobra 4:99 Climbing Shoe,159.00,Black/Yellow
https://www.backcountry.com/evolv-geshido-lace-climbing-shoe,Evolv,Geshido Lace Climbing Shoe,180.00,Black/Teal/White
https://www.backcountry.com/scarpa-origin-climbing-shoe-womens,Scarpa,Origin Climbing Shoe - Women's,118.95,Maldive/Black
https://www.backcountry.com/evolv-shaman-climbing-shoe-mens-evl000q,Evolv,Shaman Climbing Shoe,127.46,Blue/Orange
https://www.backcountry.com/la-sportiva-tarantula-climbing-shoe-womens,La Sportiva,Tarantula Climbing Shoe - Women's,99.00,Red Plum
https://www.backcountry.com/la-sportiva-tarantula-frixion-rs-climbing-shoe,La Sportiva,Tarantula Climbing Shoe,99.00,Black/Poppy
https://www.backcountry.com/black-diamond-aspect-pro-climbing-shoes,Black Diamond,Aspect Pro Climbing Shoes,199.95,Octane
https://www.backcountry.com/evolv-kira-climbing-shoe-womens,Evolv,Kira Climbing Shoe - Women's,139.00,Teal
https://www.backcountry.com/ocun-bullit-climbing-shoe,Ocun,Bullit Climbing Shoe,149.95,Petrol/Red
https://www.backcountry.com/scarpa-quantix-sf-climbing-shoe-womens,Scarpa,Quantix SF Climbing Shoe - Women's,188.95,Aqua/Black
https://www.backcountry.com/boreal-lynx-climbing-shoe-womens,Boreal,Lynx Climbing Shoe - Women's,67.48,One Color
https://www.backcountry.com/scarpa-instinct-vs-climbing-shoe,Scarpa,Instinct VS Climbing Shoe - Women's,208.95,Black/Aqua
https://www.backcountry.com/evolv-elektra-climbing-shoe-2009-womens-evl000z,Evolv,Elektra Climbing Shoe - Women's,62.26,Sea Pine
https://www.backcountry.com/butora-endeavor-climbing-shoe-tight-fit-mens,Butora,Endeavor Tight Fit Climbing Shoe,114.95,Sierra Gold
https://www.backcountry.com/evolv-shaman-lace-lv-climbing-shoe,Evolv,Shaman Lace LV Climbing Shoe,195.00,Beet Red/Slate
https://www.backcountry.com/la-sportiva-katana-lace-climbing-shoe-womens,La Sportiva,Katana Lace Climbing Shoe - Women's,219.00,White/Black
https://www.backcountry.com/evolv-shaman-climbing-shoe-mens,Evolv,Shaman Climbing Shoe,190.00,Gold/Grey/White
https://www.backcountry.com/butora-endeavor-climbing-shoe-wide-fit-womens,Butora,Endeavor Wide Fit Climbing Shoe - Women's,114.95,Crimson
https://www.backcountry.com/five-ten-niad-vcs-climbing-shoe-womens,Five Ten,Niad VCS Climbing Shoe - Women's,150.00,Core Black/Core Black/Ftwr White
https://www.backcountry.com/red-chili-voltage-ii-climbing-shoe,Red Chili,Voltage II Climbing Shoe,179.95,Red
https://www.backcountry.com/la-sportiva-mythos-eco-climbing-shoe-womens,La Sportiva,Mythos Eco Climbing Shoe - Women's,159.00,Greenbay
https://www.backcountry.com/tenaya-mundaka-climbing-shoe,Tenaya,Mundaka Climbing Shoe,194.95,Green/Black
https://www.backcountry.com/ocun-havoc-climbing-shoe,Ocun,Havoc Climbing Shoe,149.95,Petrol/Green
https://www.backcountry.com/evolv-venga-climbing-shoe-kids,Evolv,Venga Climbing Shoe - Kids',59.96,Blue/Neon Green
https://www.backcountry.com/unparallel-vim-shoe,UnParallel,Vim Shoe,139.95,Neon Yellow/Black
https://www.backcountry.com/red-chili-sausalito-climbing-shoe-mens,Red Chili,Sausalito Climbing Shoe,129.95,Glowing Red
https://www.backcountry.com/la-sportiva-otaki-climbing-shoe-mens,La Sportiva,Otaki Climbing Shoe,209.00,Blue/Flame
https://www.backcountry.com/scarpa-chimera-climbing-shoe-mens,Scarpa,Chimera Climbing Shoe,218.95,Black/Azure
https://www.backcountry.com/scarpa-force-x-climbing-shoe-vibram-xs-edge-mens,Scarpa,Force V Climbing Shoe,168.95,Mangrove/Papaya
https://www.backcountry.com/evolv-agro-climbing-shoe-mens,Evolv,Agro Climbing Shoe,87.48,Black/Red
https://www.backcountry.com/mad-rock-remora-hv-climbing-shoe,Mad Rock,Remora HV Climbing Shoe,108.95,Blue/Black/Gray
https://www.backcountry.com/evolv-shaman-lv-climbing-shoe,Evolv,Shaman LV Climbing Shoe,190.00,Beet Red/Slate
https://www.backcountry.com/five-ten-niad-lace-climbing-shoe,Five Ten,Niad Lace Climbing Shoe,150.00,Core Black/Crew Red/Acid Mint
https://www.backcountry.com/trango-oasi-lv-climbing-shoe,Tenaya,Oasi LV Climbing Shoe,184.95,White/Blue
https://www.backcountry.com/butora-endeavor-climbing-shoe-wide-fit-mens,Butora,Endeavor Wide Fit Climbing Shoe,114.95,Moss
https://www.backcountry.com/ocun-crest-qc-climbing-shoe,Ocun,Crest QC Climbing Shoe,84.95,Orange
https://www.backcountry.com/tenaya-masai-climbing-shoe-mens,Tenaya,Masai Climbing Shoe,154.95,Yellow/Red
https://www.backcountry.com/tenaya-tanta-climbing-shoe-mens,Tenaya,Tanta Climbing Shoe,109.95,Green/Black/White
https://www.backcountry.com/scarpa-maestro-mid-eco-climbing-shoe-mens-scr006k,Scarpa,Maestro Mid Eco Climbing Shoe - Men's,146.21,Stone/Light Grey
https://www.backcountry.com/evolv-geshido-lace-climbing-shoe-womens,Evolv,Geshido Lace Climbing Shoe - Women's,180.00,White/Coral/Black
https://www.backcountry.com/mad-rock-remora-lv-climbing-shoe,Mad Rock,Remora LV Climbing Shoe,108.95,Mint/Black/Blue/Gray
https://www.backcountry.com/ocun-jett-qc-climbing-shoe,Ocun,Jett QC Climbing Shoe,119.95,One Color
https://www.backcountry.com/black-diamond-momentum-lace-climbing-shoe-mens,Black Diamond,Momentum Lace Climbing Shoe,99.95,Black/Anthracite
https://www.backcountry.com/la-sportiva-finale-climbing-shoe-womens,La Sportiva,Finale Climbing Shoe - Women's,129.00,Clay/Topaz
https://www.backcountry.com/five-ten-crawe-climbing-shoe,Five Ten,Crawe Climbing Shoe,190.00,Core Black/Ftwr White/Solar Red
https://www.backcountry.com/la-sportiva-genius-climbing-shoe,La Sportiva,Genius Climbing Shoe,164.25,Red
https://www.backcountry.com/red-chili-circuit-vcr-climbing-shoe,Red Chili,Circuit VCR Climbing Shoe,94.95,Brilliant Blue
https://www.backcountry.com/unparallel-flagship-shoe,UnParallel,Flagship Shoe,169.95,Red Point/White Chalk
https://www.backcountry.com/evolv-zenist-climbing-shoe,Evolv,Zenist Climbing Shoe,170.00,Black/White
https://www.backcountry.com/scarpa-drago-climbing-shoe,Scarpa,Drago Climbing Shoe,218.95,Yellow
https://www.backcountry.com/butora-komet-tight-fit-climbing-shoe,Butora,Komet Tight Fit Climbing Shoe,99.95,Mint
https://www.backcountry.com/tenaya-tarifa-climbing-shoe-mens,Tenaya,Tarifa Climbing Shoe,184.95,Yellow/White/Black
https://www.backcountry.com/la-sportiva-theory-climbing-shoe,La Sportiva,Theory Climbing Shoe,199.00,Black/Yellow
https://www.backcountry.com/ocun-nitro-climbng-shoe,Ocun,Fury Climbing Shoe,169.95,Red
https://www.backcountry.com/butora-narsha-wide-fit-climbing-shoe,Butora,Narsha Wide Fit Climbing Shoe,132.99,Orange/Black
https://www.backcountry.com/la-sportiva-tarantula-jr-climbing-shoe-kids,La Sportiva,Tarantula Jr Climbing Shoe - Kids',79.00,Yellow/Black
https://www.backcountry.com/unparallel-sirius-lace-lv-shoe,UnParallel,Sirius Lace LV Shoe,159.95,Red/Black
